timestamp,颈部前屈,颈部后仰,肩部上举范围,肩部前伸范围,肘部屈伸,手腕背伸,手腕桡偏/尺偏,背部屈曲范围,持续时间,重复频率,fatigue_result,body_fatigue_score,cognitive_fatigue_score,emotional_fatigue_score,body_score,cog_score,emo_score
2026-06-01 14:52:08,20,25,60,94,90,15,10,20,6,10,低疲劳状态,3.0,2.0,3.0,,,
2026-06-01 15:03:33,20,22,60,120,64,15,10,20,5,20,低疲劳,,,,3.0,2.0,3.0
